id,name,class,vertebrate,order,family,description,wikidata,scientific_name,aphia_id,jodc_code,image,image_page,image_group
0,シロナガスクジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,現生最大の動物で細長い体と喉のひだを広げてオキアミをこし取る。,Q42196,,,,,,哺乳類
1,ナガスクジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,下顎の右側だけが白く高速で泳ぎながらオキアミや小魚を食べる。,Q179020,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Finhval.jpg/960px-Finhval.jpg,https://commons.wikimedia.org/wiki/File:Finhval.jpg,哺乳類
2,イワシクジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,鎌形の背びれを持ち外洋でカイアシ類や小魚をひげ板でこし取る。,Q185097,,,,,,哺乳類
3,ニタリクジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,吻の上に三本の隆起線があり温暖な海で群れる小魚を捕食する。,Q221056,,,,,,哺乳類
4,ミンククジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,胸びれの白い帯が目立ち寒冷な海でオキアミや小魚を食べる。,Q201808,,,,,,哺乳類
5,ザトウクジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,長い胸びれとこぶ状の頭部を持ち雄は繁殖海域で複雑な歌を発する。,Q132905,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Humpback_whales_in_singing_position.jpg/960px-Humpback_whales_in_singing_position.jpg,https://commons.wikimedia.org/wiki/File:Humpback%20whales%20in%20singing%20position.jpg,哺乳類
6,ホッキョククジラ,哺乳類,脊椎動物,鯨偶蹄目,セミクジラ科,背びれがなく厚い脂肪層と弓形の巨大な頭で北極海の氷間に暮らす。,Q174652,,,,,,哺乳類
7,セミクジラ,哺乳類,脊椎動物,鯨偶蹄目,セミクジラ科,頭部にフジツボなどが付く硬い隆起があり海面近くの動物プランクトンを食べる。,Q506604,,,,,,哺乳類
8,コククジラ,哺乳類,脊椎動物,鯨偶蹄目,コククジラ科,海底の泥を口で吸い込み端脚類をひげ板でこし取って長距離を回遊する。,Q179154,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Gray_whale.jpg/960px-Gray_whale.jpg,https://commons.wikimedia.org/wiki/File:Gray%20whale.jpg,哺乳類
9,マッコウクジラ,哺乳類,脊椎動物,鯨偶蹄目,マッコウクジラ科,巨大な角張った頭に脳油器官を備え深く潜って大型のイカを捕食する。,Q81214,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Mother_and_baby_sperm_whale.jpg/960px-Mother_and_baby_sperm_whale.jpg,https://commons.wikimedia.org/wiki/File:Mother%20and%20baby%20sperm%20whale.jpg,哺乳類
10,コマッコウ,哺乳類,脊椎動物,鯨偶蹄目,コマッコウ科,丸い頭と小さな下顎を持ち暖海の沖合でイカや深海魚を捕食する。,Q244300,,,,,,哺乳類
11,オガワコマッコウ,哺乳類,脊椎動物,鯨偶蹄目,コマッコウ科,小柄な体に高めの背びれを持ち熱帯から温帯の沖合でイカ類を食べる。,Q42669,,,,,,哺乳類
12,シャチ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,白黒の体と大きな背びれが目立ち家族群で魚類や海獣を協力して狩る。,Q26843,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Killerwhales_jumping.jpg/960px-Killerwhales_jumping.jpg,https://commons.wikimedia.org/wiki/File:Killerwhales%20jumping.jpg,哺乳類
13,オキゴンドウ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,細長い黒色の体と丸い頭を持ち外洋で魚やイカを群れで捕食する。,Q208132,,,,,,哺乳類
14,コビレゴンドウ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,球状に盛り上がる額と短い胸びれを持ち深海性のイカを主に食べる。,Q735210,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Short-finned_Pilot_Whale_%288793172995%29.jpg/960px-Short-finned_Pilot_Whale_%288793172995%29.jpg,https://commons.wikimedia.org/wiki/File:Short-finned%20Pilot%20Whale%20(8793172995).jpg,哺乳類
15,ハナゴンドウ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,成長とともに全身へ白い傷跡が増え深く潜ってイカ類を捕食する。,Q203897,,,,https://upload.wikimedia.org/wikipedia/commons/9/9d/Rundkopfdelfin.jpg,https://commons.wikimedia.org/wiki/File:Rundkopfdelfin.jpg,哺乳類
16,ハンドウイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,短い吻と鎌形の背びれを持ち沿岸で魚やイカを反響定位により探す。,Q174199,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Tursiops_truncatus_01-cropped.jpg/960px-Tursiops_truncatus_01-cropped.jpg,https://commons.wikimedia.org/wiki/File:Tursiops%20truncatus%2001-cropped.jpg,哺乳類
17,ミナミハンドウイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,温暖なインド太平洋の浅海に多く成長した個体では腹面に斑点が現れる。,Q370597,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/Tursiops_aduncus%2C_Port_River%2C_Adelaide%2C_Australia_-_2003.jpg,https://commons.wikimedia.org/wiki/File:Tursiops%20aduncus%2C%20Port%20River%2C%20Adelaide%2C%20Australia%20-%202003.jpg,哺乳類
18,マイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,体側の砂時計形模様が特徴で外洋に大群をつくり魚やイカを追う。,,,,,,,哺乳類
19,スジイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,目から胸びれや肛門へ伸びる黒い筋があり外洋を高速で群泳する。,Q215332,,,,https://upload.wikimedia.org/wikipedia/commons/e/e6/Stenella_coeruleoalba.jpg,https://commons.wikimedia.org/wiki/File:Stenella%20coeruleoalba.jpg,哺乳類
20,ハシナガイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,細長い吻を持ち水面上で体を回転させる跳躍行動でよく知られる。,Q649513,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/A_spinner_dolphin_in_the_Red_Sea.jpg/960px-A_spinner_dolphin_in_the_Red_Sea.jpg,https://commons.wikimedia.org/wiki/File:A%20spinner%20dolphin%20in%20the%20Red%20Sea.jpg,哺乳類
21,カマイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,背びれ後方の淡い鎌形模様が目立ち北太平洋でイカや群泳魚を食べる。,Q300946,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/PacificWhiteSidedDolphine.jpg/960px-PacificWhiteSidedDolphine.jpg,https://commons.wikimedia.org/wiki/File:PacificWhiteSidedDolphine.jpg,哺乳類
22,イロワケイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,白黒にくっきり分かれた小さな体を持ち南米沿岸などの冷水域に暮らす。,Q724354,,,,,,哺乳類
23,シロイルカ,哺乳類,脊椎動物,鯨偶蹄目,イッカク科,成体は白色で背びれを欠き可動性の高い首を使って北極海の氷下を泳ぐ。,Q132072,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Beluga_oceanografic.jpg/960px-Beluga_oceanografic.jpg,https://commons.wikimedia.org/wiki/File:Beluga%20oceanografic.jpg,哺乳類
24,イッカク,哺乳類,脊椎動物,鯨偶蹄目,イッカク科,雄では左上顎の一本の歯が長いらせん状の牙となり北極海に生息する。,Q159426,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/%D0%9D%D0%B0%D1%80%D0%B2%D0%B0%D0%BB_%D0%B2_%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%BA%D0%B5.jpg/960px-%D0%9D%D0%B0%D1%80%D0%B2%D0%B0%D0%BB_%D0%B2_%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%BA%D0%B5.jpg,https://commons.wikimedia.org/wiki/File:%D0%9D%D0%B0%D1%80%D0%B2%D0%B0%D0%BB%20%D0%B2%20%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9%20%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%BA%D0%B5.jpg,哺乳類
25,ネズミイルカ,哺乳類,脊椎動物,鯨偶蹄目,ネズミイルカ科,丸みのある頭と短い吻を持ち北半球の沿岸で底魚やイカを捕食する。,Q27027,,,,https://upload.wikimedia.org/wikipedia/commons/2/28/Daan_Close_Up.PNG,https://commons.wikimedia.org/wiki/File:Daan%20Close%20Up.PNG,哺乳類
26,ジュゴン,哺乳類,脊椎動物,海牛目,ジュゴン科,下向きの口で海草を根元から食べ三日月形の尾びれで浅海を泳ぐ。,Q129544,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Dugong_Marsa_Alam.jpg/960px-Dugong_Marsa_Alam.jpg,https://commons.wikimedia.org/wiki/File:Dugong%20Marsa%20Alam.jpg,哺乳類
27,アメリカマナティー,哺乳類,脊椎動物,海牛目,マナティー科,丸い櫂形の尾を持ち河川や汽水にも入り水草を唇で引きちぎって食べる。,Q40261,,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Manatee.jpg,https://commons.wikimedia.org/wiki/File:Manatee.jpg,哺乳類
28,ラッコ,哺乳類,脊椎動物,食肉目,イタチ科,海面に仰向けで浮かび石を道具に貝を割り海藻へ体を巻いて休む。,Q41407,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sea_otter_nursing.jpg/960px-Sea_otter_nursing.jpg,https://commons.wikimedia.org/wiki/File:Sea%20otter%20nursing.jpg,哺乳類
29,トド,哺乳類,脊椎動物,食肉目,アシカ科,雄は首回りの長い毛と大きな体を持ち北太平洋沿岸で魚やイカを食べる。,Q431981,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Steller_sea_lions_%28Eumetopias_jubatus%29_on_rocks.jpg,https://commons.wikimedia.org/wiki/File:Steller%20sea%20lions%20(Eumetopias%20jubatus)%20on%20rocks.jpg,哺乳類
